,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,MAE
0,100,10.0,2,1,sqrt,17930.556133832597
1,100,10.0,2,1,log2,20807.4239509555
2,100,10.0,2,1,,16995.48241589073
3,100,10.0,2,2,sqrt,18311.86378118155
4,100,10.0,2,2,log2,21483.54093206523
5,100,10.0,2,2,,16951.13411114391
6,100,10.0,2,4,sqrt,18954.56047126874
7,100,10.0,2,4,log2,22566.749381110727
8,100,10.0,2,4,,17079.067459183134
9,100,10.0,5,1,sqrt,17879.44049268917
10,100,10.0,5,1,log2,20595.47612405063
11,100,10.0,5,1,,16947.301044787164
12,100,10.0,5,2,sqrt,18375.977248007777
13,100,10.0,5,2,log2,21449.25154206453
14,100,10.0,5,2,,16990.46009937693
15,100,10.0,5,4,sqrt,18954.56047126874
16,100,10.0,5,4,log2,22566.74938111073
17,100,10.0,5,4,,17079.067459183134
18,100,10.0,10,1,sqrt,18618.642260568875
19,100,10.0,10,1,log2,21336.52842119256
20,100,10.0,10,1,,17235.060100738214
21,100,10.0,10,2,sqrt,18499.41658353866
22,100,10.0,10,2,log2,22009.34387861983
23,100,10.0,10,2,,17131.780452656578
24,100,10.0,10,4,sqrt,19024.55597511874
25,100,10.0,10,4,log2,22834.908851123284
26,100,10.0,10,4,,17230.588742010983
27,100,20.0,2,1,sqrt,17169.03870936932
28,100,20.0,2,1,log2,18722.976593382475
29,100,20.0,2,1,,16763.848522632885
30,100,20.0,2,2,sqrt,17639.016187255624
31,100,20.0,2,2,log2,20109.126950636444
32,100,20.0,2,2,,16750.670558238944
33,100,20.0,2,4,sqrt,18477.2285559182
34,100,20.0,2,4,log2,22101.40572295123
35,100,20.0,2,4,,16994.147718160864
36,100,20.0,5,1,sqrt,17524.96763064075
37,100,20.0,5,1,log2,18904.843413250062
38,100,20.0,5,1,,16773.230308751237
39,100,20.0,5,2,sqrt,17392.08228351733
40,100,20.0,5,2,log2,20307.506776367034
41,100,20.0,5,2,,16719.237576041312
42,100,20.0,5,4,sqrt,18477.228555918202
43,100,20.0,5,4,log2,22101.40572295123
44,100,20.0,5,4,,16994.14771816086
45,100,20.0,10,1,sqrt,17775.48885664979
46,100,20.0,10,1,log2,20268.711489688958
47,100,20.0,10,1,,16939.187739108293
48,100,20.0,10,2,sqrt,17766.08653790714
49,100,20.0,10,2,log2,20461.998463327
50,100,20.0,10,2,,17051.443413035522
51,100,20.0,10,4,sqrt,18653.789506789508
52,100,20.0,10,4,log2,21836.407643601022
53,100,20.0,10,4,,17114.471335225997
54,100,,2,1,sqrt,17183.70928767123
